"LISEM run with:",/home/jovyan/work/LISEM 3/runfiles/probnik_10m.run               
"Peak time discharge for outlet 102 (min):",    20.000000000               
"Peak time discharge for outlet 103 (min):",    28.000000000               
"Peak time discharge for outlet 104 (min):",    28.000000000               
"Peak time discharge for outlet 105 (min):",    28.000000000               
"Peak time discharge for outlet 106 (min):",    40.000000000               
"Peak time discharge for outlet 107 (min):",    20.000000000               
"Peak time discharge for outlet 108 (min):",    28.000000000               
"Peak time discharge for outlet 109 (min):",    28.000000000               
"Peak time discharge for outlet 110 (min):",    20.000000000               
"Peak time discharge for outlet 111 (min):",    28.000000000               
"Peak time discharge for outlet 112 (min):",    28.000000000               
"Peak time discharge for outlet 113 (min):",    36.000000000               
"Peak time discharge for outlet 114 (min):",     8.000000000               
"Peak time discharge for outlet 115 (min):",    28.000000000               
"Peak time discharge for outlet 116 (min):",    28.000000000               
"Peak time discharge for outlet 117 (min):",    20.000000000               
"Peak time discharge for outlet 118 (min):",    28.000000000               
"Peak time discharge for outlet 119 (min):",    20.000000000               
"Peak time discharge for outlet 120 (min):",    28.000000000               
"Peak time discharge for outlet 121 (min):",    28.000000000               
"Peak time discharge for outlet 122 (min):",    32.000000000               
"Peak time discharge for outlet 123 (min):",    28.000000000               
"Peak time discharge for outlet 124 (min):",    28.000000000               
"Peak time discharge for outlet 125 (min):",    64.000000000               
"Peak time discharge for outlet 126 (min):",    44.000000000               
"Peak time discharge for outlet 127 (min):",    28.000000000               
"Peak time discharge for outlet 128 (min):",    28.000000000               
"Peak time discharge for outlet 129 (min):",    68.000000000               
"Peak time discharge for outlet 130 (min):",    68.000000000               
"Peak time discharge for outlet 131 (min):",    28.000000000               
"Peak time discharge for outlet 132 (min):",    20.000000000               
"Peak time discharge for outlet 133 (min):",    28.000000000               
"Peak time discharge for outlet 134 (min):",    76.000000000               
"Peak time discharge for outlet 135 (min):",    56.000000000               
"Peak time discharge for outlet 136 (min):",    28.000000000               
"Peak time discharge for outlet 137 (min):",    32.000000000               
"Peak time discharge for outlet 138 (min):",    32.000000000               
"Peak time discharge for outlet 139 (min):",    48.000000000               
